Actual Density,Mean D between Robots,Num Robots,Mean SDE,Min SDE,Max SDE,SDE Range
0.6984353,42.577744,5,2.0400002,1.2,2.8000002,1.6000001
10.748354,29.881542,2,1,1,1,0
0.5920274,52.31175,4,1.7,1.4000001,2.6000001,1.2
0.9760973,65.4992,2,0.9,0.8,1,0.19999999
1.4003005,50.585846,3,2,2,2,0
0.72782385,56.430676,4,1.5250001,1.2,1.9000001,0.70000005
0.7339616,55.354027,4,2.0833333,1.4000001,2.7333333,1.3333333
0.6473081,42.25477,5,2.0400002,1.2,2.8000002,1.6000001
8.608901,26.29185,2,1,1,1,0
0.5334341,55.655758,4,1.7,1.4000001,2.6000001,1.2
0.865828,69.88973,2,0.9,0.8,1,0.19999999
1.189095,60.4793,2,1,1,1,0
1.4274762,50.45647,3,2,2,2,0
0.74306536,55.216908,4,1.55,1.2,1.9000001,0.70000005
0.7461105,55.93442,4,2.0833333,1.4000001,2.7333333,1.3333333
0.59804064,43.183727,5,2.0400002,1.2,2.8000002,1.6000001
7.2424026,24.708239,2,1,1,1,0
1.0106356,52.207706,3,1.4666668,1.2,1.8000001,0.6
0.90004885,67.98419,2,1,1,1,0
1.4768192,56.451466,2,1,1,1,0
1.4252026,51.00922,3,2,2,2,0
0.76606303,54.256718,4,1.55,1.2,1.9000001,0.70000005
0.72908497,56.58192,4,2.0833333,1.4000001,2.7333333,1.3333333
0.54817104,44.399155,5,2.0400002,1.2,2.8000002,1.6000001
1.1223329,45.854355,3,1.2666668,1,1.8000001,0.8000001
0.903245,55.58808,3,1.4,1.2,1.8000001,0.6
0.9115643,67.43765,2,1,1,1,0
1.904048,52.982655,2,1,1,1,0
1.4059999,51.83116,3,2,2,2,0
0.7934372,53.403595,4,1.55,1.2,1.9000001,0.70000005
0.6952685,53.12173,4,1.65,1.2,2.1,0.89999986
0.50636834,49.73204,5,2.3866668,1.2,2.9333334,1.7333333
1.119269,44.858192,3,1.4000001,1.2,1.8000001,0.6
3.5077891,45.094994,2,1.1,1,1.2,0.20000005
0.90888256,67.556175,2,1,1,1,0
2.650898,50.111217,2,1,1,1,0
1.2557113,52.92037,3,2,2,2,0
0.8284127,52.825283,4,1.55,1.2,1.9000001,0.70000005
0.67317283,52.580395,4,1.5500001,1.2,1.9000001,0.70000005
0.5153132,58.492577,3,1.3333334,1,1.8000001,0.8000001
1.1180471,44.50317,3,1.4000001,1.2,1.8000001,0.6
